,Location,Price,Area,Longitude,Latitude
230,"ClusterLavesh,KotaHarapanIndah,SetiaAsih,Tarumajaya,Bekasi,WestJava17215HarapanIndah,Bekasi",Rp1.439.000.000,Bekasi,106.9945444,-6.2349858
231,"banyumaniksemarangBanyumanik,Semarang",Rp370.000.000,Semarang,110.4229104,-6.9903988
232,"JlGANDASASMITABINTAROMarketingRojak082299914969DekatstasiunsudimarajOmbang,StasiunjurangmangudantollPerigiBintaroAKESARAHAlamSuteraBintaroBSDCikokolCiledugCipaduCipondohCiputatCiputatTimurCireundeuGadingSerpongJombangKaraBintaro,TangerangSelatan",Rp600.000.000,Tangerang,106.6384468,-6.1760311
233,"Jl.Panyaungan,BandungSelatanBandung",Rp726.000.000,Bandung,107.6049539,-6.9344694
234,"jl.panyaunganSoreang,Bandung",Rp553.000.000,Bandung,107.6049539,-6.9344694
235,"citralandroyalpark1Citraland,Surabaya",Rp2.600.000.000,Surabaya,112.7378266,-7.2459717
236,"PesonaKhayanganMargondaDepokMargonda,Depok",Rp2.475.000.000,Depok,106.8138131,-6.4074657
237,"KebayoranBaru,JakartaSelatan",Rp387.000.000,Jakarta Selatan,106.80486324917382,-6.28381815
238,"Jl.Palagankm.6Ngaglik,Sleman",Rp6.500.000,Sleman,110.38129042693123,-7.6894175
239,"JlnUtamaDekatPintuTolKrukutCinere,Depok",Rp2.150.000.000,Depok,106.8138131,-6.4074657
240,"Tigaraksa,Tangerang",Rp168.000.000,Tangerang,106.6384468,-6.1760311
241,Solo,Rp4.600.000.000,Solo,110.828448,-7.5692462
